OverNumber - 1, RunsScored - 17, RunRate - 2.8333333333333335
OverNumber - 2, RunsScored - 16, RunRate - 2.6666666666666665
OverNumber - 3, RunsScored - 24, RunRate - 4.0
OverNumber - 4, RunsScored - 9, RunRate - 1.5
OverNumber - 5, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 6, RunsScored - 26, RunRate - 4.333333333333333
OverNumber - 7, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 8, RunsScored - 21, RunRate - 3.5
OverNumber - 9, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 10, RunsScored - 21, RunRate - 3.5
OverNumber - 11, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 12, RunsScored - 21, RunRate - 3.5
OverNumber - 13, RunsScored - 17, RunRate - 2.8333333333333335
OverNumber - 14, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 15, RunsScored - 22, RunRate - 3.6666666666666665
OverNumber - 16, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 17, RunsScored - 27, RunRate - 4.5
OverNumber - 18, RunsScored - 15, RunRate - 2.5
OverNumber - 19, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 20, RunsScored - 24, RunRate - 4.0
OverNumber - 21, RunsScored - 17, RunRate - 2.8333333333333335
OverNumber - 22, RunsScored - 14, RunRate - 2.3333333333333335
OverNumber - 23, RunsScored - 16, RunRate - 2.6666666666666665
OverNumber - 24, RunsScored - 24, RunRate - 4.0
OverNumber - 25, RunsScored - 15, RunRate - 2.5
OverNumber - 26, RunsScored - 22, RunRate - 3.6666666666666665
OverNumber - 27, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 28, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 29, RunsScored - 21, RunRate - 3.5
OverNumber - 30, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 31, RunsScored - 13, RunRate - 2.1666666666666665
OverNumber - 32, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 33, RunsScored - 22, RunRate - 3.6666666666666665
OverNumber - 34, RunsScored - 21, RunRate - 3.5
OverNumber - 35, RunsScored - 23, RunRate - 3.8333333333333335
OverNumber - 36, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 37, RunsScored - 29, RunRate - 4.833333333333333
OverNumber - 38, RunsScored - 22, RunRate - 3.6666666666666665
OverNumber - 39, RunsScored - 13, RunRate - 2.1666666666666665
OverNumber - 40, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 41, RunsScored - 19, RunRate - 3.1666666666666665
OverNumber - 42, RunsScored - 14, RunRate - 2.3333333333333335
OverNumber - 43, RunsScored - 20, RunRate - 3.3333333333333335
OverNumber - 44, RunsScored - 24, RunRate - 4.0
OverNumber - 45, RunsScored - 14, RunRate - 2.3333333333333335
OverNumber - 46, RunsScored - 18, RunRate - 3.0
OverNumber - 47, RunsScored - 18, RunRate - 3.0
OverNumber - 48, RunsScored - 13, RunRate - 2.1666666666666665
OverNumber - 49, RunsScored - 24, RunRate - 4.0
OverNumber - 50, RunsScored - 13, RunRate - 2.1666666666666665
