BallNumber - 1, Score - 1
BallNumber - 2, Score - 6
BallNumber - 3, Score - 1
BallNumber - 4, Score - 1
BallNumber - 5, Score - 2
BallNumber - 6, Score - 6
BallNumber - 7, Score - 1
BallNumber - 8, Score - 2
BallNumber - 9, Score - 6
BallNumber - 10, Score - 2
BallNumber - 11, Score - 3
BallNumber - 12, Score - 2
BallNumber - 13, Score - 6
BallNumber - 14, Score - 1
BallNumber - 15, Score - 3
BallNumber - 16, Score - 4
BallNumber - 17, Score - 4
BallNumber - 18, Score - 6
BallNumber - 19, Score - 1
BallNumber - 20, Score - 2
BallNumber - 21, Score - 2
BallNumber - 22, Score - 2
BallNumber - 23, Score - 1
BallNumber - 24, Score - 1
BallNumber - 25, Score - 3
BallNumber - 26, Score - 3
BallNumber - 27, Score - 3
BallNumber - 28, Score - 6
BallNumber - 29, Score - 4
BallNumber - 30, Score - 1
BallNumber - 31, Score - 2
BallNumber - 32, Score - 2
BallNumber - 33, Score - 6
BallNumber - 34, Score - 6
BallNumber - 35, Score - 4
BallNumber - 36, Score - 6
BallNumber - 37, Score - 1
BallNumber - 38, Score - 2
BallNumber - 39, Score - 6
BallNumber - 40, Score - 3
BallNumber - 41, Score - 4
BallNumber - 42, Score - 4
BallNumber - 43, Score - 4
BallNumber - 44, Score - 6
BallNumber - 45, Score - 3
BallNumber - 46, Score - 1
BallNumber - 47, Score - 6
BallNumber - 48, Score - 1
BallNumber - 49, Score - 3
BallNumber - 50, Score - 4
BallNumber - 51, Score - 3
BallNumber - 52, Score - 3
BallNumber - 53, Score - 4
BallNumber - 54, Score - 3
BallNumber - 55, Score - 6
BallNumber - 56, Score - 2
BallNumber - 57, Score - 3
BallNumber - 58, Score - 6
BallNumber - 59, Score - 3
BallNumber - 60, Score - 1
BallNumber - 61, Score - 3
BallNumber - 62, Score - 6
BallNumber - 63, Score - 3
BallNumber - 64, Score - 1
BallNumber - 65, Score - 3
BallNumber - 66, Score - 4
BallNumber - 67, Score - 3
BallNumber - 68, Score - 4
BallNumber - 69, Score - 2
BallNumber - 70, Score - 6
BallNumber - 71, Score - 3
BallNumber - 72, Score - 3
BallNumber - 73, Score - 1
BallNumber - 74, Score - 2
BallNumber - 75, Score - 6
BallNumber - 76, Score - 1
BallNumber - 77, Score - 1
BallNumber - 78, Score - 6
BallNumber - 79, Score - 6
BallNumber - 80, Score - 2
BallNumber - 81, Score - 4
BallNumber - 82, Score - 4
BallNumber - 83, Score - 1
BallNumber - 84, Score - 3
BallNumber - 85, Score - 3
BallNumber - 86, Score - 3
BallNumber - 87, Score - 1
BallNumber - 88, Score - 6
BallNumber - 89, Score - 3
BallNumber - 90, Score - 6
BallNumber - 91, Score - 6
BallNumber - 92, Score - 4
BallNumber - 93, Score - 6
BallNumber - 94, Score - 1
BallNumber - 95, Score - 1
BallNumber - 96, Score - 1
BallNumber - 97, Score - 4
BallNumber - 98, Score - 6
BallNumber - 99, Score - 6
BallNumber - 100, Score - 6
BallNumber - 101, Score - 1
BallNumber - 102, Score - 4
BallNumber - 103, Score - 2
BallNumber - 104, Score - 2
BallNumber - 105, Score - 3
BallNumber - 106, Score - 4
BallNumber - 107, Score - 2
BallNumber - 108, Score - 2
BallNumber - 109, Score - 3
BallNumber - 110, Score - 1
BallNumber - 111, Score - 6
BallNumber - 112, Score - 2
BallNumber - 113, Score - 1
BallNumber - 114, Score - 6
BallNumber - 115, Score - 4
BallNumber - 116, Score - 1
BallNumber - 117, Score - 3
BallNumber - 118, Score - 6
BallNumber - 119, Score - 6
BallNumber - 120, Score - 4
BallNumber - 121, Score - 6
BallNumber - 122, Score - 4
BallNumber - 123, Score - 1
BallNumber - 124, Score - 4
BallNumber - 125, Score - 1
BallNumber - 126, Score - 1
BallNumber - 127, Score - 1
BallNumber - 128, Score - 1
BallNumber - 129, Score - 2
BallNumber - 130, Score - 4
BallNumber - 131, Score - 2
BallNumber - 132, Score - 4
BallNumber - 133, Score - 1
BallNumber - 134, Score - 6
BallNumber - 135, Score - 1
BallNumber - 136, Score - 6
BallNumber - 137, Score - 1
BallNumber - 138, Score - 1
BallNumber - 139, Score - 3
BallNumber - 140, Score - 6
BallNumber - 141, Score - 3
BallNumber - 142, Score - 4
BallNumber - 143, Score - 4
BallNumber - 144, Score - 4
BallNumber - 145, Score - 2
BallNumber - 146, Score - 2
BallNumber - 147, Score - 1
BallNumber - 148, Score - 3
BallNumber - 149, Score - 6
BallNumber - 150, Score - 1
BallNumber - 151, Score - 3
BallNumber - 152, Score - 1
BallNumber - 153, Score - 4
BallNumber - 154, Score - 6
BallNumber - 155, Score - 4
BallNumber - 156, Score - 4
BallNumber - 157, Score - 6
BallNumber - 158, Score - 1
BallNumber - 159, Score - 2
BallNumber - 160, Score - 6
BallNumber - 161, Score - 4
BallNumber - 162, Score - 1
BallNumber - 163, Score - 3
BallNumber - 164, Score - 3
BallNumber - 165, Score - 4
BallNumber - 166, Score - 3
BallNumber - 167, Score - 1
BallNumber - 168, Score - 6
BallNumber - 169, Score - 6
BallNumber - 170, Score - 4
BallNumber - 171, Score - 4
BallNumber - 172, Score - 2
BallNumber - 173, Score - 1
BallNumber - 174, Score - 4
BallNumber - 175, Score - 2
BallNumber - 176, Score - 2
BallNumber - 177, Score - 4
BallNumber - 178, Score - 1
BallNumber - 179, Score - 6
BallNumber - 180, Score - 4
BallNumber - 181, Score - 1
BallNumber - 182, Score - 2
BallNumber - 183, Score - 4
BallNumber - 184, Score - 2
BallNumber - 185, Score - 3
BallNumber - 186, Score - 1
BallNumber - 187, Score - 4
BallNumber - 188, Score - 2
BallNumber - 189, Score - 6
BallNumber - 190, Score - 2
BallNumber - 191, Score - 3
BallNumber - 192, Score - 3
BallNumber - 193, Score - 2
BallNumber - 194, Score - 6
BallNumber - 195, Score - 4
BallNumber - 196, Score - 3
BallNumber - 197, Score - 3
BallNumber - 198, Score - 4
BallNumber - 199, Score - 1
BallNumber - 200, Score - 2
BallNumber - 201, Score - 4
BallNumber - 202, Score - 2
BallNumber - 203, Score - 6
BallNumber - 204, Score - 6
BallNumber - 205, Score - 3
BallNumber - 206, Score - 2
BallNumber - 207, Score - 6
BallNumber - 208, Score - 2
BallNumber - 209, Score - 6
BallNumber - 210, Score - 4
BallNumber - 211, Score - 1
BallNumber - 212, Score - 6
BallNumber - 213, Score - 4
BallNumber - 214, Score - 3
BallNumber - 215, Score - 3
BallNumber - 216, Score - 2
BallNumber - 217, Score - 6
BallNumber - 218, Score - 3
BallNumber - 219, Score - 6
BallNumber - 220, Score - 4
BallNumber - 221, Score - 6
BallNumber - 222, Score - 4
BallNumber - 223, Score - 6
BallNumber - 224, Score - 6
BallNumber - 225, Score - 4
BallNumber - 226, Score - 1
BallNumber - 227, Score - 2
BallNumber - 228, Score - 3
BallNumber - 229, Score - 1
BallNumber - 230, Score - 1
BallNumber - 231, Score - 3
BallNumber - 232, Score - 4
BallNumber - 233, Score - 1
BallNumber - 234, Score - 3
BallNumber - 235, Score - 2
BallNumber - 236, Score - 4
BallNumber - 237, Score - 3
BallNumber - 238, Score - 2
BallNumber - 239, Score - 4
BallNumber - 240, Score - 4
BallNumber - 241, Score - 2
BallNumber - 242, Score - 6
BallNumber - 243, Score - 6
BallNumber - 244, Score - 1
BallNumber - 245, Score - 1
BallNumber - 246, Score - 3
BallNumber - 247, Score - 4
BallNumber - 248, Score - 1
BallNumber - 249, Score - 1
BallNumber - 250, Score - 6
BallNumber - 251, Score - 1
BallNumber - 252, Score - 1
BallNumber - 253, Score - 4
BallNumber - 254, Score - 6
BallNumber - 255, Score - 2
BallNumber - 256, Score - 4
BallNumber - 257, Score - 1
BallNumber - 258, Score - 3
BallNumber - 259, Score - 2
BallNumber - 260, Score - 6
BallNumber - 261, Score - 6
BallNumber - 262, Score - 2
BallNumber - 263, Score - 2
BallNumber - 264, Score - 6
BallNumber - 265, Score - 6
BallNumber - 266, Score - 3
BallNumber - 267, Score - 1
BallNumber - 268, Score - 1
BallNumber - 269, Score - 2
BallNumber - 270, Score - 1
BallNumber - 271, Score - 2
BallNumber - 272, Score - 6
BallNumber - 273, Score - 3
BallNumber - 274, Score - 3
BallNumber - 275, Score - 3
BallNumber - 276, Score - 1
BallNumber - 277, Score - 4
BallNumber - 278, Score - 2
BallNumber - 279, Score - 4
BallNumber - 280, Score - 3
BallNumber - 281, Score - 3
BallNumber - 282, Score - 2
BallNumber - 283, Score - 4
BallNumber - 284, Score - 4
BallNumber - 285, Score - 1
BallNumber - 286, Score - 2
BallNumber - 287, Score - 1
BallNumber - 288, Score - 1
BallNumber - 289, Score - 4
BallNumber - 290, Score - 4
BallNumber - 291, Score - 6
BallNumber - 292, Score - 1
BallNumber - 293, Score - 6
BallNumber - 294, Score - 3
BallNumber - 295, Score - 1
BallNumber - 296, Score - 2
BallNumber - 297, Score - 6
BallNumber - 298, Score - 1
BallNumber - 299, Score - 1
BallNumber - 300, Score - 2
